,model_type,region,baseline_response,training_score,testing_score,baseline,model_success,best_params
43,logreg,Central America,no arrests,0.9657320872274143,0.8611111111111112,0.8834498834498834,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
44,logreg,Central America,no beatings,0.9968847352024922,0.9629629629629629,0.9673659673659674,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
45,logreg,Central America,no crowd_dispersal,0.9968847352024922,0.7592592592592593,0.6899766899766899,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
46,logreg,Central America,ignore,0.9501557632398754,0.7685185185185185,0.5990675990675991,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
47,logreg,Central America,no killings,1.0,0.9444444444444444,0.9533799533799534,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
48,logreg,Central America,no shootings,0.9968847352024922,0.8981481481481481,0.8834498834498834,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
49,rf,Europe,no accomodation,0.9899665551839465,0.9264828738512949,0.9220480668756531,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 300}"
50,rf,Europe,no arrests,1.0,0.8897243107769424,0.8854754440961338,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}"
51,rf,Europe,no beatings,1.0,0.9624060150375939,0.967816091954023,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
52,rf,Europe,no crowd_dispersal,0.999721293199554,0.8863826232247285,0.7684430512016719,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
53,rf,Europe,ignore,0.9994425863991081,0.8546365914786967,0.6764890282131661,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}"
54,rf,Europe,no killings,1.0,0.9924812030075187,0.9928944618599791,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
55,rf,Europe,no shootings,1.0,0.9883040935672515,0.9914315569487984,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
56,rf,Africa,no accomodation,1.0,0.8824306472919419,0.8733884297520661,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
57,rf,Africa,no arrests,1.0,0.8269484808454426,0.8320661157024793,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
58,rf,Africa,no beatings,0.9911816578483245,0.9207397622192867,0.9226446280991736,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}"
59,rf,Africa,no crowd_dispersal,0.9096119929453262,0.8256274768824307,0.5639669421487603,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}"
60,rf,Africa,no ignore,0.9991181657848325,0.8295904887714664,0.5857851239669422,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}"
61,rf,Africa,no killings,1.0,0.9009247027741083,0.8981818181818182,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}"
62,rf,Africa,no shootings,1.0,0.8797886393659181,0.871404958677686,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
63,rf,Asia,no accomodation,0.9819277108433735,0.8805555555555555,0.8756080611535789,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}"
64,rf,Asia,no arrests,0.9990732159406858,0.8875,0.8485059068797776,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
65,rf,Asia,no beatings,1.0,0.9333333333333333,0.9204308547602502,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
66,rf,Asia,no crowd_dispersal,0.9884151992585728,0.8027777777777778,0.7029186935371786,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 300}"
67,rf,Asia,ignore,0.860982391102873,0.7611111111111111,0.5059068797776234,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}"
68,rf,Asia,no killings,0.9847080630213161,0.9333333333333333,0.9444058373870744,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 300}"
69,rf,Asia,no shootings,0.9995366079703429,0.9458333333333333,0.9503127171646977,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
70,rf,South America,no accomodation,0.8880407124681934,0.8854961832061069,0.8867684478371501,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
71,rf,South America,no arrests,1.0,0.8829516539440203,0.8842239185750637,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}"
72,rf,South America,no beatings,1.0,0.9923664122137404,0.9872773536895675,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
73,rf,South America,no crowd_dispersal,1.0,0.8396946564885496,0.6762086513994912,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
74,rf,South America,ignore,0.9906700593723494,0.7633587786259542,0.5674300254452926,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}"
75,rf,South America,no killings,0.9533502968617472,0.9287531806615776,0.9472010178117048,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
76,rf,South America,no shootings,0.9847328244274809,0.9745547073791349,0.9713740458015268,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}"
77,rf,MENA,no accomodation,1.0,0.9298892988929889,0.9168207024029575,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
78,rf,MENA,no arrests,0.998766954377312,0.8487084870848709,0.8428835489833642,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
